,Case_Number,date_cn,Type,Activity,Country,Area,Location,Sex,Age,Injury,Fatal_(Y/N),Time,Species,original_order
3406,1965.04.04.a,1965-04-04,UNPROVOKED,PADDLING ON SURFBOARD,USA,Florida,"Juno Beach, Palm Beach County",M,17.0,Left hand punctured & lacerated,N,07h15,BLACKTIP OR SPINNER SHARK,2587
3407,1965.03.23,1965-03-23,INVALID,AIRCRAFT EXPLODED,USA,Puerto Rico,60 miles offshore north of San Juan,M,,"All 16 onboard perished, recovery efforts hampered by sharks",N,11h30,,2586
3408,1965.03.14,1965-03-14,UNPROVOKED,FREE DIVING,USA,Florida,"Pompano Beach, Palm Beach County",M,16.0,Survived,N,13h30,MAKO SHARK,2585
3409,1965.02.14,1965-02-14,UNPROVOKED,TREADING WATER,SOUTH AFRICA,KwaZulu-Natal,Amatikulu,M,25.0,"Abdomen, buttock, thigh, arm & hand bitten",N,15h00 or 15h45,"1.8 M [6'], 136-KG [300-LB] SHARK",2584
3410,1965.02.04,1965-02-04,UNPROVOKED,SCUBA DIVING,USA,Massachusetts,"Granite Pier, Rockport",M,18.0,Punctures on left thigh,N,14h30,1.2 M [4'] SHARK,2583
3411,1965.01.25,1965-01-25,INVALID,MOTOR BOAT REBEL BELLE LOST,USA,California,"Newport Beach, Orange County",M,21.0,"Puncture marks on chest may have been post mortem, 4 other bodies in area were undamaged",Y,,,2582
3412,1965.01.23,1965-01-23,UNPROVOKED,PADDLING RESCUE SKI,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",M,22.0,"No injury, ski bitten",N,13h00,"WHITE SHARK, 3.7 M [12']",2581
3413,1965.01.16,1965-01-16,UNPROVOKED,BODY SURFING,SOUTH AFRICA,KwaZulu-Natal,"Country Club Beach, Durban",M,20.0,Right thigh punctured,N,16h40,,2580
3414,1965.01.10,1965-01-10,UNPROVOKED,SWIMMING,AUSTRALIA,Victoria,"East of Station Pier, Port Melbourne",M,,Thigh gashed,N,,1.5 M [5'] SHARK,2579
3415,1965.01.09,1965-01-09,UNPROVOKED,FREE DIVING,NEW GUINEA,Central Province,Off Gaire Village,M,30.0,FATAL,Y,,4.9 M [16'] WHALER,2578
3416,1965.00.00.g,,UNPROVOKED,DANGLING FEET IN THE WATER,USA,Texas,"Port Lavaca, Calhoun County",M,13.0,Foot bitten,N,,,2577
3417,1965.00.00.f,,PROVOKED,SURFING,USA,California,"Dana Point, San Clemente, Orange County",M,,Puncture wounds to foot when he stepped on a shark    PROVOKED INCIDENT,N,,,2576
3418,1965.00.00.e,,PROVOKED,COLLECTING MARINE SPECIMENS,USA,Florida,"Between Palm  & Salerno Inlets, Martin County",M,,"No injury, shark tore his wetsuit after he grabbed it by the tail  PROVOKED INCIDENT",N,,"NURSE SHARK, 0.94 M TO 1.2 M [3' TO 4']",2575
3419,1965.00.00.d,,UNPROVOKED,STANDING IN WAIST-DEEP WATER,RED SEA,East of the Gulf of Aqaba,,M,,Leg bitten three times,N,,SMALL SHARK WITH WHITE-TIPPED DORSAL FIN,2574
3420,1965.00.00.c,,UNPROVOKED,"SPEARFISHING, BUT STANDING IN THE WATER",EGYPT,,South of Hurghada,M,,Ankle and thigh bitten; shark made three strikes,N,,"1.5 M TO 2.1 M [5' TO 7'] SHARK, POSSIBLY A MAKO SHARK",2573
3421,1965.00.00.b,,UNPROVOKED,,VANUATU,Malampa Province,Island of Paam'a,M,,FATAL. Said to have been killed by sorcerers that turned themselves into sharks. The alleged sorcerers were taken into custody by authorities but released  due to lack of evidence. ,Y,,,2572
3422,1965.00.00.a,,INVALID,BATHER,SOUTH AFRICA,Eastern Cape Province,Pollock Beach,,,No details,UNKNOWN,,,2571
3423,1964.12.25,1964-12-25,UNPROVOKED,SWIMMING,SOUTH AFRICA,Eastern Cape Province,Port Alfred,M,19.0,"Hand, ankle & calf lacerated",N,17h00,RAGGEDTOOTH SHARK,2570
3424,1964.12.10.b,1964-12-10,UNPROVOKED,,PAPUA NEW GUINEA,Bougainville (North Solomons),Buka Island,M,,Thigh severely lacerated,N,,,2569
3425,1964.12.10.a,1964-12-10,BOATING,FISHING,AUSTRALIA,New South Wales,Port Jervis,,,"No injury to occupants, shark rammed boat, bit planks & sheared off copper rivet at stern of boat",N,10h30,4.6 M [15'] SHARK,2568
3426,1964.12.09,1964-12-09,UNPROVOKED,"CANOE SWAMPED, SWIMMING BACK TO CANOE",PAPUA NEW GUINEA,Bougainville (North Solomons),"Off Sing Village, Buka Island",M,28.0,Survived,N,Late afternoon,2.1 M [7'] SHARK,2567
3427,1964.12.06,1964-12-06,UNPROVOKED,FISHING WITH HAND LINE TIED TO WRIST & WAS PULLED INTO THE WATER,KENYA,Coast Province,"Kilindini Harbor, Mombasa",M,10.0,FATAL,Y,,,2566
3428,1964.11.29,1964-11-29,UNPROVOKED,FREE DIVING WITH SEALS,AUSTRALIA,Victoria ,Lady Julia Percy Island,M,25.0,Left leg severed,N,14h30,"WHITE SHARK, 2.4 M [8']",2565
3429,1964.11.18,1964-11-18,UNPROVOKED,SWIMMING OUT TO RESCUE SWIMMERS IN DIFFICULTY,AUSTRALIA,Queensland,"Fingal Beach, near Tweed Heads",M,29.0,FATAL,Y,13h30,,2564
3430,1964.11.13,1964-11-13,PROVOKED,"FILMING UNDERWATER, CARRYING POWERHEAD",AUSTRALIA,New South Wales,"North Solitary Island, 8 miles from Wolli",M,25.0,"Shark made threat display, then diver hit it with powerhead PROVOKED INCIDENT",N,,"WHITE SHARK, 2.7 M [9'1""], 750-LB",2563
3431,1964.11.05,1964-11-05,BOATING,LONGLINE FISHING,USA,Puerto Rico,,,,"No injury to occupant, shark bit propeller of outboard motor",N,18h00,MAKO SHARK,2562
3432,1964.10.31,1964-10-31,PROVOKED,SURF FISHING,SOUTH AFRICA,KwaZulu-Natal,Umkomaas,M,,Right leg bitten  while attempting to gaff hooked shark PROVOKED INCIDENT,N,,,2561
3433,1964.10.25,1964-10-25,INVALID,BOAT MISS BECKY  SANK 12 MILES FROM SHORE,USA,Florida,"Near US Air Force Base at Elgin, Okaloosa County",,,"No injury to occupants, drove sharks away with paddles",N,Night,,2560
3434,1964.10.04,1964-10-04,UNPROVOKED,"SURFING, BUT SWIMMING TO HIS BOARD",AUSTRALIA,Western Australia,"Avalon Beach, near Mandurah, 50 miles south of Perth",M,19.0,Abrasions & 11 teethmarks on right lower leg,N,09h30,"GREY NURSE SHARK, 1.8 M [6']",2559
3435,1964.09.27,1964-09-27,INVALID,SPEARFISHING,,,,M,24.0,"Disappeared, probable drowning but sharks in area led to speculation that he was taken by a shark",,11h00,,2558
3436,1964.09.20,1964-09-20,UNPROVOKED,SWIMMING,TAIWAN,Northern Taiwan,"Tamsui Beach, Taipai",M,32.0,FATAL,Y,14h00,,2557
3437,1964.09.07,1964-09-07,UNPROVOKED,SWIMMING,TAIWAN,Northern Taiwan,Tamsui Beach,M,20.0,Right thigh &  elbow bitten,N,13h30,1.8 M [6'] SHARK,2556
3438,1964.08.26,1964-08-26,UNPROVOKED,SWIMMING,USA,Florida,"Hollywood Beach, Broward County",M,14.0,Bruised & abraded ankle,N,14h30,,2555
3439,1964.08.23,1964-08-23,UNPROVOKED,FLOATING ON HIS BACK IN AN INNER TUBE,MEXICO,Guerrero,Acapulco,M,19.0,Right thigh bitten,N,14h00,1.8 TO 2.4 M [6' TO 8'] SHARK,2554
3440,1964.08.22,1964-08-22,INVALID,SPEARFISHING / FREE DIVING,USA,Florida,5 miles south of Palm Beach,M,18.0,3 m to 3.7 m [10' to 12']  great hammerhead shark shark only made a threat display. No injury,N,11h30,,2553
3441,1964.08.21,1964-08-21,UNPROVOKED,SWIMMING,USA,Florida,"Panama City, Bay County",M,,"No injury,  bumped repeatedly",N,11h30,3' SHARK,2552
3442,1964.08.08,1964-08-08,UNPROVOKED,SPEARFISHING USING SCUBA,USA,Florida,"2 miles off Jupiter, Palm Beach County",M,28.0,"No injury, shark hit scuba tank",N,12h00,HAMMERHEAD SHARK,2551
3443,1964.08.03,1964-08-03,UNPROVOKED,SWIMMING,JAPAN,Okayama Prefecture,Saidaiji,M,12.0,"Leg bitten, surgically amputated",N,,,2550
3444,1964.08.00,1964-08-01,UNPROVOKED,FREE DIVING / SPEARFISHINGAT EDGE OF REEF,PANAMA,San Blas,Off Achutuppu Island near Ailigandi,M,21.0,Foot lacerated,N,,LESS THAN 1.2 M [4'],2549
3445,1964.07.27,1964-07-27,PROVOKED,,USA,Puerto Rico,,M,22.0,Arm lacerated by speared shark PROVOKED INCIDENT,N,11h00,NURSE SHARK,2548
3446,1964.07.16,1964-07-16,UNPROVOKED,SEARCHING FOR REMAINS OF  DR. MARAIS,SOUTH AFRICA,KwaZulu-Natal,Island Rock,M,30.0,"No injury, shark charged & impaled itself on spear",N,,ZAMBESI SHARK,2547
3447,1964.07.15,1964-07-15,INVALID,"YACHT GOONEY BIRD FOUNDERED, 4 SURVIVORS ON RAFT",USA,Connecticut,"3 days out of Old Saybrook, Connecticut, 37.04'N, 67.57'W, Southern fringe of Gulf Stream",,,"No injury, no attack; sharks ate their food tied to a line over the side of the raft",N,,,2546
3448,1964.07.08.b,1964-07-08,INVALID,SPEARFISHING,SOUTH AFRICA,KwaZulu-Natal,Island Rock,M,52.0,"Remains recovered, probable drowning and scavenging",Y,,,2545
3449,1964.07.08.a,1964-07-08,PROVOKED,TAGGING SHARKS,USA,Florida,"Palm Beach, Palm Beach County",M,,"No injury to occupant, hooked shark rammed & bit boat PROVOKED INCIDENT",N,,WHITE SHARK,2544
3450,1964.07.00.b,1964-07-01,UNPROVOKED,STANDING / FISHING,PAPUA NEW GUINEA,New Ireland Province,A reef off New Hanover (Northern end),M,,"FATAL, leg severed ",Y,,,2543
3451,1964.07.00.a,1964-07-01,BOATING,CANOEING,PAPUA NEW GUINEA,New Ireland Province,Southern end,,,"No injury to occupant, canoe struck several times by shark ",N,,,2542
3452,1964.06.29.a,1964-06-29,SEA DISASTER,CONDUCTING A PROMOTIONAL FILM PROJECT FOR THE GEMINI SPACE PROGRAM (A PRACTICE ASTRONAUT RECOVERY),BERMUDA,Hamilton,2 miles south of Castle Island Harbour entrance to Hamilton,,,"7 rescued, 7 bodies recovered, 10 missing. Many sharks in crash area.",Y,,,2541
3453,1964.06.28,1964-06-28,INVALID,ATTEMPTING TO SWIM ACROSS THE ATLANTIC OCEAN,USA,New York,Long Island,F,29.0,"Disappeared, probable drowning but sharks in area led to speculation that she was taken by a shark",Y,Night,,2540
3454,1964.06.24,1964-06-24,BOATING,FISHING,USA,California,"Long Beach, Los Angeles County",,,"No injury to occupants, shark crashed through windshield of boat",N,,2.1 M [7'] SHARK,2539
3455,1964.06.17,1964-06-17,BOATING,FISHING,PAPUA NEW GUINEA,New Britain,Near Rabaul,M,,"No injury to occupant, shark lifted canoe's outrigger",N,,2.4 M [8'] SHARK,2538
3456,1964.06.23,1964-06-23,UNPROVOKED,SPEARFISHING,FIJI,Lau Group,"Tovu, Totoya Island",M,23.0,Buttocks bitten,N,,,2537
3457,1964.06.02,1964-06-02,INVALID,SWIMMING,SOUTH AFRICA,KwaZulu-Natal,Port Edward,M,40.0,"Skeletonized, except for head & feet. Possibly a drowning / scavenging",Y,>17h00,,2536
3458,1964.05.30,1964-05-30,UNPROVOKED,STANDING,PANAMA,Caribbean Coast,,M,47.0,No injury,N,,LEMON SHARK,2535
3459,1964.05.08,1964-05-08,UNPROVOKED,SPEARFISHING,FIJI,Vita Levu,Naviti,M,35.0,"FATAL, buttocks, lower abdomen & genitalia removed  ",Y,11h30,TIGER SHARK,2534
3460,1964.05.00,1964-05-01,UNPROVOKED,SKIN DIVING,PANAMA,San Blas Islands,"Achutupu, a small island ner Ailigandi",M,13.0,"FATAL, torso / abdomen severely bitten  ",Y,,1.8 M [6'] SHARK,2533
3461,1964.04.07,1964-04-07,UNPROVOKED,FISHING,PAPUA NEW GUINEA,Madang Province,Inshore side of reef near Madang,M,,FATAL,Y,,,2532
3462,1964.03.28.b,1964-03-28,UNPROVOKED,SURFING,AUSTRALIA,South Australia,Surfers Paradise Beach near Victor Harbour,M,19.0,Left thigh lacerated,N,,1.8 M [6'] SHARK,2531
3463,1964.03.28.a,1964-03-28,SEA DISASTER,"CANOE CAPSIZED WITH 10 OCCUPANTS, 8 SURVIVED,  HAMILTON SWAM OFF TO SEEK HELP",PAPUA NEW GUINEA,Central Province,30 miles from Port Moresby,M,32.0,Presumed FATAL,Y,Midnight,,2530
3464,1964.03.05,1964-03-05,UNPROVOKED,SKIN DIVING,USA,Florida,"Fort Lauderdale, Broward County",M,38.0,"Minor injury, abdomen abraded when he collided with the shark",N,16h00,1.7 M [5.5'] SHARK,2529
3465,1964.03.00,1964-03-01,UNPROVOKED,FREE DIVING FOR SHELL,SENEGAL,Cap Vert Peninsula,"Bel Air, Dakar",M,,Thigh & hand bitten,N,,3 M SHARK,2528
3466,1964.02.17.R,1964-02-17,PROVOKED,FISHING,FIJI,,Savuli Reef,,,Hooked shark bit boat PROVOKED INCIDENT,N,,"TIGER SHARK, 3.5 M, 250-LB FEMALE",2527
3467,1964.02.14.b,1964-02-14,UNPROVOKED,DIVING FOR TROCHUS SHELL,NEW CALEDONIA,,,M,15.0,"FATAL, foot & part of other leg severed  ",Y,,,2526
3468,1964.02.14.a,1964-02-14,UNPROVOKED,SPEARFISHING,FIJI,Vanua Levu,"Nailou Village, Tunuloa Natewa Bay",M,17.0,"FATAL, thigh and abdomen bitten ",Y,10h30,,2525
3469,1964.02.11,1964-02-11,UNPROVOKED,PREPARING TO GO SKIN DIVING,NEW ZEALAND,North Island,"Palliser Bay, Whatarangi (east of Wellington)",M,,Hand lacerated,N,12h00,,2524
3470,1964.02.10,1964-02-10,UNPROVOKED,SPEARFISHING,NEW ZEALAND,North Island,"West of Pukerua Bay, Wellington",M,26.0,"No injury to diver, shark bit speargun",N,18h30,"WHITE SHARK, 3 M [10']",2523
3471,1964.02.08,1964-02-08,UNPROVOKED,BODY BOARDING,SOUTH AFRICA,Western Cape Province,Muizenberg,M,25.0,Right ankle lacerated,N,08h45,"WHITE SHARK, 1.5 M [5'] K",2522
3472,1964.02.05.b,1964-02-05,UNPROVOKED,LYING IN 2 FEET OF WATER,NEW ZEALAND,North Island,"Hokio Beach, near Levin",M,,Right leg & shoulder lacerated,N,,"""SAND SHARK""",2521
3473,1964.02.05.a,1964-02-05,UNPROVOKED,SWIMMING,NEW ZEALAND,South Island,"St. Clair Beach, Dunedin",M,19.0,"FATAL, both legs bitten & right leg severed at knee ",Y,06h45,"WHITE SHARK, 3 M TO 3.7 M [10' TO 12']",2520
3474,1964.02.02,1964-02-02,INVALID,SWIMMING,AUSTRALIA,Queensland,Brisbane,M,23.0,Body not recovered  / May have drowned prior to shark involvement,Y,09h30,,2519
3475,1964.02.01,1964-02-01,BOATING,ROWING,NEW ZEALAND,South Island,"Ngatuka Bay, near Picton",,,"No injury to occupants , shark nudged oars",N,12h00,1.8 M [6'] SHARK,2518
3476,1964.02.00.b,1964-02-01,UNPROVOKED,FLOATING,USA,Florida,Palm Beach County,M,12.0,No injury,N,,HAMMERHEAD SHARK,2517
3477,1964.02.00.a,1964-02-01,UNPROVOKED,SWIMMING,COSTA RICA,Puntarenas Province,Puntarenas,M,,"FATAL, right arm & left thigh bitten ",Y,,,2516
3478,1964.01.27,1964-01-27,UNPROVOKED,SPEARFISHING,FIJI,,70 miles from Suva,,,FATAL,Y,,,2515
3479,1964.01.23,1964-01-23,UNPROVOKED,BODY SURFING,SOUTH AFRICA,Eastern Cape Province,Nahoon,M,39.0,Heel & ankle bitten,N,16h00,,2514
3480,1964.01.22,1964-01-22,UNPROVOKED,STANDING,SOUTH AFRICA,Eastern Cape Province,Nahoon,M,17.0,Heel bitten,N,11h00,,2513
3481,1964.01.21,1964-01-21,BOATING,SHARK WATCHING,SOUTH AFRICA,Western Cape Province,20 m from shore at Strand,,,"No injury to occupants, shark holed  boat",N,11h00,"WHITE SHARK, 3.6 M [11'9""]",2512
3482,1964.01.18,1964-01-18,UNPROVOKED,FREEDIVING,AUSTRALIA,Western Australia,Hamelin Bay,M,,Arm lacerated,N,,WOBBEGONG,2511
3483,1964.01.11,1964-01-11,UNPROVOKED,SPEARFISHING / SCUBA DIVING (AT SURFACE),USA,California,Southeast Farallon Island,M,21.0,Leg & thigh bitten,N,12h00,WHITE SHARK (TOOTH FRAGMENT RECOVERED),2510
3484,1964.01.06.R,1964-01-06,UNPROVOKED,FISHING,PAPUA NEW GUINEA,New Britain,,M,,FATAL,Y,,TIGER SHARK,2509
3485,1964.01.04,1964-01-04,UNPROVOKED,SWIMMING,FIJI,"Lomaloma, Lau",Tuvuca Isalnd,F,20.0,Deep lacerations to her right thigh,N,15h00,,2508
3486,1964.01.01.b,1964-01-01,UNPROVOKED,,AUSTRALIA,Western Australia,Metro coast,,,,UNKNOWN,,,2507
3487,1964.01.01.a,1964-01-01,UNPROVOKED,DIVING FOR SINKERS,SOUTH AFRICA,Western Cape Province,Mossel Bay,M,,Lacerations and puncture wounds in right arm ,N,19h00 / 20h00,2.1 M TO 2.4 M  [7' TO 8'] SHARK,2506
3488,1964.01.00,1964-01-01,INVALID,SNORKELING,NEW ZEALAND,North Island,White Island,M,,No injury,N,07h30,WHITE SHARK,2505
3489,1963.12.29,1963-12-29,UNPROVOKED,STANDING,SOUTH AFRICA,KwaZulu-Natal,"Catfish Rock, between Salt Rock & Shaka’s Rock",F,20.0,"Right hand & foot severed, thigh & buttock lacerated",N,14h00,"ZAMBESI SHARK, 1.8 M [6']",2504
3490,1963.12.26.b,1963-12-26,UNPROVOKED,SWIMMING,SOUTH AFRICA,KwaZulu-Natal,Umhlanga Rocks,M,24.0,"Lower leg bitten & foot severed, leg surgically amputated below knee",N,15h00,1.8 M [6']  SHARK,2503
3491,1963.12.26.a,1963-12-26,UNPROVOKED,SITTING ON GUNWALE OF BOAT,AUSTRALIA,Queensland,"Figtree Ledge, Hervey Bay",M,,"No injury, shark's tail struck his armpit",N,Dawn,"4.3 M [14'], 1000-LB SHARK",2502
3492,1963.12.25,1963-12-25,UNPROVOKED,SWIMMING,SOUTH AFRICA,Eastern Cape Province,Gonubie River Mouth,M,18.0,"FATAL, shoulders, arms, abdomen & foot bitten  ",Y,15h45,,2501
3493,1963.12.22.b,1963-12-22,INVALID,"GREEK STEAMSHIP LAKONIA CAUGHT FIRE, 98 OF HER 646 PASSENGERS, AND 30 OF HER CREW OF 376 PERISHED",ATLANTIC OCEAN,Between Southampton & Canary Islands,,F,,"One woman reported to have suffered fish bites, but cause of her death was exposure & drowning""",N,,SHARK INVOLVEMENT UNCONFIRMED,2500
3494,1963.12.22.a,1963-12-22,PROVOKED,HELPING FRIEND LAND HOOKED SHARK,SOUTH AFRICA,KwaZulu-Natal,"Next to West Street groyne, Durban",M,13.0,Foot lacerated  PROVOKED INCIDENT,N,18h30,"DUSKY SHARK, 1 M",2499
3495,1963.12.21,1963-12-21,PROVOKED,FISHING,AUSTRALIA,New South Wales,"Woolgoolga, Coffs Harbour",M,,7 puncture wounds in right forearm from hooked shark PROVOKED INCIDENT,N,,"WOBBEGONG SHARK, 3'",2498
3496,1963.12.20.b,1963-12-20,UNPROVOKED,SPEARFISHING,SOUTH AFRICA,Western Cape Province,Hartenbos,M,,Foot lacerated,N,12h00,"WHITE SHARK, 1.7 M [5.5']",2497
3497,1963.12.20.a,1963-12-20,UNPROVOKED,SPLASHING IN SURF,SOUTH AFRICA,KwaZulu-Natal,Umvoti,M,15.0,"FATAL, arm severed, leg bitten",Y,12h40,300- TO 400-LB ZAMBESI SHARK,2496
3498,1963.12.08,1963-12-08,UNPROVOKED,SPEARFISHING,AUSTRALIA,South Australia,55 miles south of Adelaide,M,23.0,Torso & hand lacerated,N,12h45,WHITE SHARK,2495
3499,1963.12.04.R,1963-12-04,UNPROVOKED,SPEARFISHING,NEW BRITAIN,"South Coast, East New Britain",Pomio,M,22.0,"FATAL, leg severely bitten",Y,,TIGER SHARK,2494
3500,1963.11.30.b,1963-11-30,UNPROVOKED,TREADING WATER WHILE ALONGSIDE CAPSIZED YACHT,NEW ZEALAND,South Island,"Charteris Bay, Lyttleton Harbour",M,20.0,Hand & lower leg severely injured,N,13h00,POSSIBLY A BROADNOSE 7-GILL SHARK,2493
3501,1963.11.30.a,1963-11-30,PROVOKED,FISHING / STANDING IN WAIST DEEP WATER,PAPUA NEW GUINEA,Gulf Province,"Kukipi, 150 miles west of Port Moresby in the Lakekamu River area",F,18.0,Left arm lacerated  PROVOKED INCIDENT,N,14h00,TIGER SHARK,2492
3502,1963.11.28,1963-11-28,UNPROVOKED,FISHING,FIJI, Lau Province,"Dravuwalu, Totoya Island",F,21.0,Elbow bitten,N,11h00,>1.2 M [4'] TIGER SHARK,2491
3503,1963.11.25,1963-11-25,UNPROVOKED,SPEARING FISH,FIJI,Vita Levu,Rewa River,M,25.0,Ankle & foot bitten,N,14h00,,2490
3504,1963.11.16.R,1963-11-16,UNPROVOKED,SPEARFISHING,ITALY,Sicily,Off Mondello Lighthouse,M,28.0,No injury,N,,,2489
3505,1963.11.14,1963-11-14,PROVOKED,CATCHING SHARKS UNDER GOVERNMENT CONTRACT,AUSTRALIA,Queensland,Mermaid Beach,M,,"No injury to occupant, netted shark rammed & bit boat PROVOKED INCIDENT",N,,"WHITE SHARK, 15'2""",2488
3506,1963.11.12,1963-11-12,PROVOKED,TESTING ANTI-SHARK CAGE,USA,Florida,"8 miles south of Elliot Key, Miami-Dade County",M,,No injury PROVOKED INCIDENT,N,11h40,"SILKY SHARK, 1.9 M [6.5']",2487
3507,1963.11.05.R,1963-11-05,UNPROVOKED,WADING,PAPUA NEW GUINEA,New Britain,,M,,Thigh lacerated ,N,,6' SHARK,2486
3508,1963.11.04,1963-11-04,UNPROVOKED,FISHING,PALAU,Western Caroline Islands,Koror,M,35.0,Left calf lacerated,N,03h00,DOOLEY BELIEVED HIS INJURY WAS CAUSED BY STINGRAY (DASYATIDAE FAMILY),2485
3509,1963.10.16,1963-10-16,UNPROVOKED,"SURF FISHING, WADING",USA,Florida,"Biltmore Beach, near Panama City",M,28.0,"Right thigh &  foot bruised, right calf  lacerated",N,17h30,500-LB SHARK,2484
3510,1963.10.15,1963-10-15,PROVOKED,FISHING FOR SHARKS,NORTH PACIFIC OCEAN,,,M,20.0,"Right hand lacerated, PROVOKED INCIDENT",N,,,2483
3511,1963.09.29,1963-09-29,UNPROVOKED,SPEARFISHING / FREE DIVING,CHILE,,"El Panul, 12km south of Coquimbo",M,,FATAL,Y,11h00,"WHITE SHARK, 4 M [13'] RK",2482
3512,1963.09.26,1963-09-26,INVALID,"COMMERCIAL FISHING VESSEL, EV-NN, STRUCK OBJECT & SANK. KEN CROSBY AND  JAME & ANN DUMAS ADRIFT ON MAKESHIFT RAFT.",USA,Florida,100 miles offshore,,25.0,Sharks tried to overturn raft and took Mrs. Dumas' body; scavenging by shark/s,Y,,NUMEROUS DUSKY SHARKS & A 3 M TO 4.6 M [10' TO 15'] TO  TIGER SHARK,2481
3513,1963.09.22,1963-09-22,UNPROVOKED,SPEARING FISH,SOLOMON ISLANDS,Ysabel Island,Susukana Plantation,M,30.0,"FATAL, right thigh, calf & foot bitten ",Y,13h00,5.5 M [18'] SHARK,2480
3514,1963.09.13,1963-09-13,PROVOKED,SURFING,AUSTRALIA,New South Wales,Wanda Beach,M,18.0,"A ""dead"" shark grabbed by the tail bit his right torso PROVOKED INCIDENT",N,09h30,1.5 M [5'] SHARK,2479
3515,1963.09.10,1963-09-10,PROVOKED,"SPEARFISHING, PULLED SHARK’S TAIL",USA,Florida,"Snapper Point Jetty, Miami, Dade County",M,16.0,Minor injury to left forearm  PROVOKED INCIDENT,N,13h30,"NURSE SHARK, 1.2 M [4']",2478
3516,1963.08.00,1963-08-01,UNPROVOKED,"SWIMMING, WHEN CAUGHT IN HEAVY SEAS",DOMINICAN REPUBLIC,Santo Domingo,Rio Haina Port,M,,"FATAL. Eyewitness said, ""One was thrown in the air like a basketball, and while in the air another shark took a bite out of his belly."" ",Y,,8 SHARKS,2477
3517,1963.07.28,1963-07-28,UNPROVOKED,SPEARFISHING,FEDERATED STATES OF MICRONESIA,Eastern Caroline Islands,"Koop Reef, Truk (Chuuk)",M,26.0,Upper left arm bitten,N,08h00,TIGER SHARK,2476
3518,1963.07.15,1963-07-15,UNPROVOKED,BATHING,USA,Florida,"New Smyrna Beach, Volusia County",M,14.0,"Left forearm bitten, surgically amputated?",N,Late afternoon,,2475
3519,1963.07.11,1963-07-11,PROVOKED,"FISHING, ON CHARTER BOAT SILVER DOLLAR",USA,Mississippi,Horn Island,M,24.0,"Cuts on right hand, PROVOKED INCIDENT",N,,1.2 M [4'] SHARK,2474
3520,1963.07.10.R,1963-07-10,SEA DISASTER,63' FISHING BOAT SNO' BAY FOUNDERED,JAMAICA,,,,,No survivors & a body sighted could not be recovered because of sharks,Y,,,2473
3521,1963.07.00,1963-07-01,UNPROVOKED,"SEINING FOR BAIT, STANDING IN CHEST-DEEP WATER",PANAMA,San Blas coast,"4 miles from Tuwala, near Mulatuppu",M,,"FATAL, foot nearly severed ",Y,,,2472
3522,1963.06.01.b,1963-06-01,UNPROVOKED,SWIMMING,GREECE,Thessaly,near Trikerion Island,F,42.0,FATAL,Y,16h30,"WHITE SHARK, 3 M",2471
3523,1963.06.01.a,1963-06-01,PROVOKED,FISHING,PAPUA NEW GUINEA,Central Province,Near Fisherman's Island,M,30.0,"Hooked shark bit his nose, arm and leg PROVOKED INCIDENT",N,Morning,1.8 M [6'] SHARK,2470
3524,1963.05.18,1963-05-18,INVALID,SWIMMING,USA,California,San Mateo County,M,,3 lacerations below right knee,N,,SHARK INVOLVEMENT NOT CONFIRMED,2469
3525,1963.05.14,1963-05-14,SEA DISASTER,"BOAT, WITH 42 PASSENGERS ONBOARD, CAPSIZED IN ROUGH SEAS",PHILIPPINES,Luzon Island,100 miles southeast of Manila,,,"Of the 42 people on board, 5 died of exposure, others drowned or were taken by sharks, and survivors were rescued after spending 3 days in the water.",Y,,,2468
3526,1963.04.22,1963-04-22,PROVOKED,FISHING,AUSTRALIA,New South Wales,Clarence Head,M,,Foot lacerated by netted shark PROVOKED INCIDENT,N,,GREY NURSE SHARK,2467
3527,1963.04.20,1963-04-20,UNPROVOKED,SWIMMING,USA,US Virgin Islands,"St. Thomas, Magens Bay",M,25.0,"FATAL, hand severed, shoulder, hip, foot, thigh bitten & femoral artery severed  ",Y,13h50,"HAND FOUND IN GUT OF 2.9 M TO 3.3 M [9'7"" TO 10'11""] GALAPAGOS SHARK, C. GALAPAGENSIS",2466
3528,1963.04.17,1963-04-17,UNPROVOKED,SWIMMING,SOUTH AFRICA,KwaZulu-Natal,Amanzimtoti,M,15.0,Buttock bitten,N,12h45,,2465
3529,1963.04.13,1963-04-13,UNPROVOKED,"SURFING ON ""CHEST BOARD"" (BOOGIE BOARD?)",AUSTRALIA,Western Australia,Yallingup,M,25.0,Arm bitten,N,,1.8 M TO 2.4 M  [6' TO 8'] SHARK,2464
3530,1963.04.12,1963-04-12,UNPROVOKED,SURFING,USA,Hawaii,"Awili, South Kona, Hawai'i",M,15.0,Left foot & leg bitten,N,14h00,3.7 TO 4.5 M [12' TO 15'] SHARK SEEN IN VICINITY,2463
3531,1963.04.08,1963-04-08,INVALID,WASHED INTO SEA WHILE PICKING OPIHI,USA,Hawaii,"Hapuna Beach, Hawai'i",M,,"May have drowned prior to shark involvement, partial remains recovered",Y,,,2462
3532,1963.03.30,1963-03-30,SEA DISASTER,THE 500-TON COASTAL TRADER POLURRIAN FOUNDERED,SOLOMON ISLANDS,Bougainville (North Solomons),,M,,FATAL,Y,Night,,2461
